tool,queries,repetition,phase,threads,complete,timed_out,wall_seconds,artifact,failure_reason,search_seconds,conversion_seconds,verification_seconds,tool_seconds,recovered,recovery_percent
bwa,100,1,measurement,8,True,False,3.549286400000028,benchmarks/classic/iterations/20260907T213451.582230-measurement-bwa-100-r1-aln/screening.json,,1.0659324490000017,2.018260868000027,0.4650930829999993,3.084193317000029,100,100.0
bwa,100,2,measurement,8,True,False,3.29879645099993,benchmarks/classic/iterations/20260907T213455.146685-measurement-bwa-100-r2-aln/screening.json,,1.0159566609999615,1.8679177539999614,0.4149220360000072,2.883874414999923,100,100.0
bwa,100,3,measurement,8,True,False,3.299166440000022,benchmarks/classic/iterations/20260907T213458.459763-measurement-bwa-100-r3-aln/screening.json,,1.0164841019999926,1.8677434600000424,0.41493887799998674,2.884227562000035,100,100.0
bwa,1000,1,measurement,8,True,False,4.3026742810000655,benchmarks/classic/iterations/20260907T213501.774057-measurement-bwa-1000-r1-aln/screening.json,,1.3676436310000213,2.3197184260000085,0.6153122240000357,3.68736205700003,998,99.8
bwa,1000,2,measurement,8,True,False,4.1517449930000225,benchmarks/classic/iterations/20260907T213506.096168-measurement-bwa-1000-r2-aln/screening.json,,1.317510459999994,2.2189105680000125,0.615323965000016,3.5364210280000066,998,99.8
bwa,1000,3,measurement,8,True,False,4.152519030999997,benchmarks/classic/iterations/20260907T213510.271220-measurement-bwa-1000-r3-aln/screening.json,,1.3176010910000286,2.2191380579999986,0.6157798819999698,3.5367391490000273,998,99.8
bwa,10000,1,measurement,8,True,False,27.161439742000084,benchmarks/classic/iterations/20260907T213601.870356-measurement-bwa-10000-r1-aln/screening.json,,14.855955342000016,8.733382151,3.572102249000068,23.589337493000016,9776,97.76
bwa,10000,2,measurement,8,True,False,26.961033826999937,benchmarks/classic/iterations/20260907T213629.138889-measurement-bwa-10000-r2-aln/screening.json,,14.605031163000035,8.835069286999897,3.5209333770000057,23.44010044999993,9776,97.76
bwa,10000,3,measurement,8,True,False,27.15931445800004,benchmarks/classic/iterations/20260907T213656.230046-measurement-bwa-10000-r3-aln/screening.json,,14.804630971000051,8.783831501000009,3.5708519859999797,23.58846247200006,9776,97.76
blast,10,1,measurement,8,True,False,13.97567707899998,benchmarks/classic/iterations/20260907T213847.888138-measurement-blast-10-r1-search/screening.json,,13.61071856000001,0,0.3649585189999698,13.61071856000001,10,100.0
blast,10,2,measurement,8,True,False,13.920473883,benchmarks/classic/iterations/20260907T213901.875281-measurement-blast-10-r2-search/screening.json,,13.55571071999998,0,0.36476316300002054,13.55571071999998,10,100.0
blast,10,3,measurement,8,True,False,13.925257471999998,benchmarks/classic/iterations/20260907T213915.806714-measurement-blast-10-r3-search/screening.json,,13.56048061499996,0,0.36477685700003804,13.56048061499996,10,100.0
blast,100,1,measurement,8,True,False,140.76423079100005,benchmarks/classic/iterations/20260907T214121.137263-measurement-blast-100-r1-search/screening.json,,140.24934273200006,0,0.5148880589999862,140.24934273200006,100,100.0
blast,100,2,measurement,8,True,False,140.6983883029999,benchmarks/classic/iterations/20260907T214341.913794-measurement-blast-100-r2-search/screening.json,,140.18336703199986,0,0.5150212710000233,140.18336703199986,100,100.0
blast,100,3,measurement,8,True,False,141.08046321400002,benchmarks/classic/iterations/20260907T214602.625137-measurement-blast-100-r3-search/screening.json,,140.56535167100014,0,0.5151115429998754,140.56535167100014,100,100.0
minimap2,10,1,measurement,8,True,False,4.839698191999901,benchmarks/classic/iterations/20260907T214628.835626-measurement-minimap2-10-r1-search/screening.json,,4.0741063929999655,0,0.7655917989999352,4.0741063929999655,10,100.0
minimap2,10,2,measurement,8,True,False,4.939855871999953,benchmarks/classic/iterations/20260907T214633.687635-measurement-minimap2-10-r2-search/screening.json,,4.174293659999989,0,0.7655622119999634,4.174293659999989,10,100.0
minimap2,10,3,measurement,8,True,False,4.839091019999955,benchmarks/classic/iterations/20260907T214638.638054-measurement-minimap2-10-r3-search/screening.json,,4.073740202999943,0,0.7653508170000123,4.073740202999943,10,100.0
bwa,10,1,measurement,8,True,False,3.3997161039999355,benchmarks/classic/iterations/20260907T214646.690920-measurement-bwa-10-r1-aln/screening.json,,1.066025727999886,1.9186836930000482,0.41500668300000143,2.984709420999934,10,100.0
bwa,10,2,measurement,8,True,False,3.3992044109998005,benchmarks/classic/iterations/20260907T214650.463789-measurement-bwa-10-r2-aln/screening.json,,1.0161488709998139,1.968082375999984,0.4149731640000027,2.984231246999798,10,100.0
bwa,10,3,measurement,8,True,False,3.349175081000112,benchmarks/classic/iterations/20260907T214654.220072-measurement-bwa-10-r3-aln/screening.json,,1.0159802820001005,1.9182120400000713,0.4149827589999404,2.9341923220001718,10,100.0
minimap2,100,1,measurement,8,True,False,6.293455171999881,benchmarks/classic/iterations/20260907T214658.843529-measurement-minimap2-100-r1-search/screening.json,,4.82653823499993,0,1.4669169369999508,4.82653823499993,100,100.0
minimap2,100,2,measurement,8,True,False,6.292932584000027,benchmarks/classic/iterations/20260907T214705.149171-measurement-minimap2-100-r2-search/screening.json,,4.826337032999959,0,1.4665955510000686,4.826337032999959,100,100.0
minimap2,100,3,measurement,8,True,False,6.293117088000145,benchmarks/classic/iterations/20260907T214711.454877-measurement-minimap2-100-r3-search/screening.json,,4.826275864000081,0,1.4668412240000634,4.826275864000081,100,100.0
minimap2,1000,1,measurement,8,True,False,24.887858037,benchmarks/classic/iterations/20260907T214717.761149-measurement-minimap2-1000-r1-search/screening.json,,12.649132975000043,0,12.238725061999958,12.649132975000043,970,97.0
minimap2,1000,2,measurement,8,True,False,24.83673973300006,benchmarks/classic/iterations/20260907T214742.666500-measurement-minimap2-1000-r2-search/screening.json,,12.648502828000005,0,12.188236905000053,12.648502828000005,970,97.0
minimap2,1000,3,measurement,8,True,False,24.939339224999912,benchmarks/classic/iterations/20260907T214807.522283-measurement-minimap2-1000-r3-search/screening.json,,12.649435918999984,0,12.289903305999928,12.649435918999984,970,97.0
blast,1000,1,measurement,8,False,True,600.004070105,benchmarks/classic/iterations/20260907T214823.718993-measurement-blast-1000-r1-search/screening.json,,600.004070105,0,0,600.004070105,,
minimap2,10000,1,measurement,8,True,False,371.262408824,benchmarks/classic/iterations/20260907T215651.106705-measurement-minimap2-10000-r1-search/screening.json,,138.602698101,0,232.659710723,138.602698101,9512,95.12
ooff,10,1,measurement,8,True,False,0.479183240999987,benchmarks/classic/iterations/20260907T220150.924202-measurement-ooff-10-r1-search/screening.json,,0.11415123100005076,0,0.36503200999993624,0.11415123100005076,10,100.0
ooff,10,2,measurement,8,True,False,0.47949690899997677,benchmarks/classic/iterations/20260907T220151.428873-measurement-ooff-10-r2-search/screening.json,,0.11428035699998418,0,0.3652165519999926,0.11428035699998418,10,100.0
ooff,10,3,measurement,8,True,False,0.4798485600000504,benchmarks/classic/iterations/20260907T220151.934356-measurement-ooff-10-r3-search/screening.json,,0.11482939500001521,0,0.3650191650000352,0.11482939500001521,10,100.0
ooff,100,1,measurement,8,True,False,0.479112506999968,benchmarks/classic/iterations/20260907T220153.961745-measurement-ooff-100-r1-search/screening.json,,0.1142010889999483,0,0.3649114180000197,0.1142010889999483,100,100.0
ooff,100,2,measurement,8,True,False,0.5296139469999162,benchmarks/classic/iterations/20260907T220154.469350-measurement-ooff-100-r2-search/screening.json,,0.1142800669999815,0,0.41533387999993465,0.1142800669999815,100,100.0
ooff,100,3,measurement,8,True,False,0.4792581930000779,benchmarks/classic/iterations/20260907T220155.027892-measurement-ooff-100-r3-search/screening.json,,0.1144239820000621,0,0.3648342110000158,0.1144239820000621,100,100.0
ooff,1000,1,measurement,8,True,False,0.6292952590000596,benchmarks/classic/iterations/20260907T220155.536127-measurement-ooff-1000-r1-search/screening.json,,0.16423242500002289,0,0.4650628340000367,0.16423242500002289,1000,100.0
ooff,1000,2,measurement,8,True,False,0.5798927820000017,benchmarks/classic/iterations/20260907T220156.199443-measurement-ooff-1000-r2-search/screening.json,,0.16457822600000327,0,0.41531455599999845,0.16457822600000327,1000,100.0
ooff,1000,3,measurement,8,True,False,0.5796818490000533,benchmarks/classic/iterations/20260907T220156.816223-measurement-ooff-1000-r3-search/screening.json,,0.1645347790000642,0,0.41514706999998907,0.1645347790000642,1000,100.0
ooff,10000,1,measurement,8,True,False,1.4839155079999955,benchmarks/classic/iterations/20260907T220200.743740-measurement-ooff-10000-r1-search/screening.json,,0.26497880600004464,0,1.2189367019999509,0.26497880600004464,10000,100.0
ooff,10000,2,measurement,8,True,False,0.8339441300000772,benchmarks/classic/iterations/20260907T220202.341608-measurement-ooff-10000-r2-search/screening.json,,0.21572448500000974,0,0.6182196450000674,0.21572448500000974,10000,100.0
ooff,10000,3,measurement,8,True,False,0.8356425599999966,benchmarks/classic/iterations/20260907T220203.313969-measurement-ooff-10000-r3-search/screening.json,,0.21718965899992781,0,0.6184529010000688,0.21718965899992781,10000,100.0
minimap2,10000,2,measurement,8,True,False,349.7706683350002,benchmarks/classic/iterations/20260907T220302.528030-measurement-minimap2-10000-r2-search/screening.json,,143.56486648600003,0,206.20580184900018,143.56486648600003,9512,95.12
blast,10000,1,measurement,8,False,True,600.0040295110002,benchmarks/classic/iterations/20260907T220823.817452-measurement-blast-10000-r1-search/screening.json,,600.0040295110002,0,0,600.0040295110002,,
minimap2,10000,3,measurement,8,True,False,352.01691465600015,benchmarks/classic/iterations/20260907T220852.419940-measurement-minimap2-10000-r3-search/screening.json,,145.96623595600022,0,206.05067869999993,145.96623595600022,9512,95.12
ooff,100000,1,measurement,8,True,False,51.664824259,benchmarks/classic/iterations/20260907T223942.201313-measurement-ooff-100000-r1-search/screening.json,,42.177264928,0,9.487559331,42.177264928,100000,100.0
bwa,100000,1,measurement,8,True,False,282.756636745,benchmarks/classic/iterations/20260907T223946.316019-measurement-bwa-100000-r1-aln/screening.json,,144.23761191,99.47258739999995,39.04643743500003,243.71019930999995,98774,98.774
blast,100000,1,measurement,8,False,True,600.0165083320001,benchmarks/classic/iterations/20260907T223950.659732-measurement-blast-100000-r1-search/screening.json,,600.0165083320001,0,0,600.0165083320001,,
ooff,100000,2,measurement,8,True,False,3.1913732880000225,benchmarks/classic/iterations/20260907T224034.779087-measurement-ooff-100000-r2-search/screening.json,,0.5672322130000111,0,2.6241410750000114,0.5672322130000111,100000,100.0
ooff,100000,3,measurement,8,True,False,3.089922756999954,benchmarks/classic/iterations/20260907T224039.031624-measurement-ooff-100000-r3-search/screening.json,,0.5173338839999815,0,2.5725888729999724,0.5173338839999815,100000,100.0
bwa,100000,2,measurement,8,True,False,246.45557790099997,benchmarks/classic/iterations/20260907T224430.005962-measurement-bwa-100000-r2-aln/screening.json,,127.78847706199997,87.83510663300001,30.83199420599999,215.62358369499998,98774,98.774
bwa,100000,3,measurement,8,True,False,246.8983752449999,benchmarks/classic/iterations/20260907T224837.513194-measurement-bwa-100000-r3-aln/screening.json,,127.774407828,88.48909023499994,30.63487718199997,216.26349806299993,98774,98.774
minimap2,100000,1,measurement,8,False,False,421.1612017389998,benchmarks/classic/iterations/20260907T225513.797152-measurement-minimap2-100000-r1-search/screening.json,out_of_memory,421.1612017389998,0,0,421.1612017389998,,
